Sp.Scien.jetz,Sp.Eng.jetz,Sp.Scien.hbw,Sp.Eng.hbw,Match_jetz_birdlife,Order,strategy_3,distance_4,distance_quanti_RES0,distance_quanti_ALL
Coracina_larvata,Sunda-Cuckooshrike,Coracina_larvata,Sunda-Cuckoo-shrike,Coracina_larvata,PASSERIFORMES,resident,resident,0,267.017339613042
Coracina_leucopygia,White-rumped-Cuckooshrike,Coracina_leucopygia,White-rumped-Cuckoo-shrike,Coracina_leucopygia,PASSERIFORMES,resident,resident,0,148.807273151003
Coracina_lineata,Yellow-eyed-Cuckooshrike,Coracina_lineata,Barred-Cuckoo-shrike,Coracina_lineata,PASSERIFORMES,resident,resident,0,568.892410685423
Coracina_longicauda,Hooded-Cuckooshrike,Coracina_longicauda,Hooded-Cuckoo-shrike,Coracina_longicauda,PASSERIFORMES,resident,resident,0,144.112199281018
Coracina_macei,Large-Cuckooshrike,Coracina_macei,Large-Cuckoo-shrike,Coracina_macei,PASSERIFORMES,resident,resident,0,679.103973158873
Coracina_maxima,Ground-Cuckooshrike,Pteropodocys_maxima,Ground-Cuckoo-shrike,Coracina_maxima,PASSERIFORMES,resident,resident,0,646.456285218151
Coracina_mcgregori,McGregors-Cuckooshrike,Coracina_mcgregori,McGregors-Cuckoo-shrike,Coracina_mcgregori,PASSERIFORMES,resident,resident,0,66.2141636557046
Coracina_melanoptera,Black-headed-Cuckooshrike,Coracina_melanoptera,Black-headed-Cuckoo-shrike,Coracina_melanoptera,PASSERIFORMES,partial_mig,short,851.505449947401,851.505449947401
Coracina_melas,New-Guinea-Cuckooshrike,Coracina_melas,New-Guinea-Cuckoo-shrike,Coracina_melas,PASSERIFORMES,resident,resident,0,274.120148211742
Coracina_melaschistos,Black-winged-Cuckooshrike,Coracina_melaschistos,Black-winged-Cuckoo-shrike,Coracina_melaschistos,PASSERIFORMES,partial_mig,variable,1285.02862383246,1285.02862383246
Coracina_mindanensis,Black-bibbed-Cicadabird,Coracina_mindanensis,Black-bibbed-Cicadabird,Coracina_mindanensis,PASSERIFORMES,resident,resident,0,179.424871817947
Coracina_montana,Black-bellied-Cuckooshrike,Coracina_montana,Black-bellied-Cuckoo-shrike,Coracina_montana,PASSERIFORMES,resident,resident,0,173.967319424017
Coracina_morio,Sulawesi-Cicadabird,Coracina_morio,Sulawesi-Cicadabird,Coracina_morio,PASSERIFORMES,resident,resident,0,157.580267832598
Coracina_newtoni,Reunion-Cuckooshrike,Coracina_newtoni,Reunion-Cuckoo-shrike,Coracina_newtoni,PASSERIFORMES,resident,resident,0,0
Coracina_novaehollandiae,Black-faced-Cuckooshrike,Coracina_novaehollandiae,Black-faced-Cuckoo-shrike,Coracina_novaehollandiae,PASSERIFORMES,partial_mig,short,1400.30500344283,1400.30500344283
Coracina_ostenta,White-winged-Cuckooshrike,Coracina_ostenta,White-winged-Cuckoo-shrike,Coracina_ostenta,PASSERIFORMES,resident,resident,0,51.9403368611266
Coracina_papuensis,White-bellied-Cuckooshrike,Coracina_papuensis,White-bellied-Cuckoo-shrike,Coracina_papuensis,PASSERIFORMES,resident,resident,0,647.72229860069
Coracina_parvula,Halmahera-Cuckooshrike,Coracina_parvula,Halmahera-Cuckoo-shrike,Coracina_parvula,PASSERIFORMES,resident,resident,0,41.4308981506563
Coracina_pectoralis,White-breasted-Cuckooshrike,Coracina_pectoralis,White-breasted-Cuckoo-shrike,Coracina_pectoralis,PASSERIFORMES,resident,resident,0,811.696966167129
Coracina_personata,Wallacean-Cuckooshrike,Coracina_personata,Wallacean-Cuckoo-shrike,Coracina_personata,PASSERIFORMES,resident,resident,0,156.851865508765
Coracina_polioptera,Indochinese-Cuckooshrike,Coracina_polioptera,Indochinese-Cuckoo-shrike,Coracina_polioptera,PASSERIFORMES,resident,resident,0,286.358378262151
Coracina_schistacea,Slaty-Cuckooshrike,Coracina_schistacea,Slaty-Cuckoo-shrike,Coracina_schistacea,PASSERIFORMES,resident,resident,0,41.2604549274214
